composition OQMD_Id A_atom B_atom OQMD_unrelaxed_lattice_parameter OQMD_relaxed_lattice_parameter
Ac2O3 692323 Ac Ac 5.12409600 4.70536900
AcAgO3 351356 Ac Ag 4.85124300 4.12340600
AcAgO3 352371 Ag Ac 4.85124300 4.50220500
AcAlO3 350231 Ac Al 4.84484900 3.85829600
AcAlO3 352192 Al Ac 4.84484900 4.55223200
AcAsO3 350391 Ac As 4.91388900 4.12696400
AcAsO3 352315 As Ac 4.91388900 4.57468200
AcAuO3 350750 Ac Au 4.84990000 4.18184100
AcAuO3 351798 Au Ac 4.84990000 4.50546000
AcBeO3 350757 Be Ac 4.72078700 4.52413600
AcBeO3 353490 Ac Be 4.72078700 3.76091200
AcBiO3 353590 Bi Ac 5.09798000 4.65515700
AcBiO3 354744 Ac Bi 5.09798000 4.46131300
AcBO3 350820 B Ac 4.71453800 4.48835400
AcBO3 354721 Ac B 4.71453800 3.69318000
AcCdO3 352967 Ac Cd 4.91307500 4.18692300
AcCdO3 353867 Cd Ac 4.91307500 4.57117100
AcCeO3 353412 Ce Ac 5.08490200 4.67115100
AcCeO3 353991 Ac Ce 5.08490200 4.58105700
AcCoO3 350267 Co Ac 4.76457900 4.53978700
AcCoO3 351226 Ac Co 4.76457900 3.87634400
AcCrO3 350893 Ac Cr 4.77965800 3.95724300
AcCrO3 352898 Cr Ac 4.77965800 4.53356000
AcCuO3 351412 Cu Ac 4.77529400 4.48277400
AcCuO3 353542 Ac Cu 4.77529400 3.90251300
AcDyO3 351193 Dy Ac 5.04845900 4.65885000
AcDyO3 354304 Ac Dy 5.04845900 4.33327800
AcErO3 352250 Ac Er 5.03634100 4.29257300
AcErO3 353512 Er Ac 5.03634100 4.65458600
AcEuO3 350552 Ac Eu 5.25641000 4.33464200
AcEuO3 354623 Eu Ac 5.25641000 4.59681900
AcFeO3 350871 Fe Ac 4.77529700 4.54391800
AcFeO3 353168 Ac Fe 4.77529700 3.97657300
AcGaO3 351261 Ac Ga 4.88698200 3.94929300
AcGaO3 353728 Ga Ac 4.88698200 4.53212000
AcGdO3 351167 Gd Ac 5.06817800 4.66320000
AcGdO3 355092 Ac Gd 5.06817800 4.38052000
AcGeO3 353278 Ac Ge 4.92931400 4.05480800
AcGeO3 354868 Ge Ac 4.92931400 4.59552100
AcHfO3 351479 Hf Ac 4.92392900 4.62194200
AcHfO3 353955 Ac Hf 4.92392900 4.14920500
AcHgO3 350223 Ac Hg 4.95593200 4.26681600
AcHgO3 350856 Hg Ac 4.95593200 4.56806000
AcHoO3 350538 Ho Ac 5.04295700 4.65563500
AcHoO3 354472 Ac Ho 5.04295700 4.31155100
AcInO3 350665 Ac In 4.97579800 4.18611500
AcInO3 354864 In Ac 4.97579800 4.58720100
AcIrO3 349975 Ir Ac 4.80969800 4.54496900
