iter	RMSE
0	1.587250801
1	1.54513964
2	1.506437918
3	1.470003343
4	1.435027916
5	1.403618874
6	1.372269099
7	1.342790464
8	1.314890002
9	1.289144375
10	1.265958813
11	1.241466969
12	1.219045454
13	1.19886127
14	1.179568561
15	1.16112706
16	1.144268635
17	1.127832742
18	1.113008266
19	1.098643612
20	1.084567953
21	1.071124104
22	1.060672092
23	1.049575237
24	1.038254057
25	1.027287457
26	1.017435373
27	1.007217028
28	0.9978676928
29	0.9875604289
30	0.976805834
31	0.9703055717
32	0.9620894605
33	0.9549924601
34	0.9487878633
35	0.9411549404
36	0.9344107403
37	0.9290802751
38	0.9223358446
39	0.9165512462
40	0.9111211649
41	0.9055963121
42	0.8993864152
43	0.893495438
44	0.8886474038
45	0.8847610998
46	0.8798693535
47	0.875223988
48	0.8711185048
49	0.8674922751
50	0.8633457411
51	0.8592680587
52	0.8545001761
53	0.8514578557
54	0.847839128
55	0.8443251344
56	0.8406563109
57	0.837777028
58	0.8342144752
59	0.8319921332
60	0.8292417375
61	0.8268446809
62	0.8236653788
63	0.8215262405
64	0.8190036535
65	0.8161314127
66	0.8123282345
67	0.8095680071
68	0.8064185236
69	0.8033150673
70	0.8016312888
71	0.7991420974
72	0.797206366
73	0.7958263209
74	0.7938927034
75	0.7921014547
76	0.7897704906
77	0.7880988942
78	0.7853502686
79	0.7831371832
80	0.7799510111
81	0.7778557352
82	0.7761150873
83	0.775146365
84	0.7735598809
85	0.7712771402
86	0.7699177969
87	0.7683259305
88	0.7665815381
89	0.7658134839
90	0.7643456081
91	0.7624826648
92	0.760539199
93	0.7590866757
94	0.7571659379
95	0.7549240822
96	0.7537267404
97	0.7526410915
98	0.7514543764
99	0.7503738054
100	0.7492378216
101	0.7479927155
102	0.7467051733
103	0.7443366993
104	0.7435480654
105	0.741490309
106	0.7396505202
107	0.7387981897
108	0.7369155113
109	0.7354518568
110	0.7341156579
111	0.7325416717
112	0.7318507509
113	0.7292463165
114	0.728171098
115	0.7275462208
116	0.7260520759
117	0.7252605225
118	0.7244251994
119	0.7238090092
120	0.723064802
121	0.720991717
122	0.7197989779
123	0.7188377715
124	0.7174559026
125	0.7162350261
126	0.7147904767
127	0.7134558784
128	0.7122055185
129	0.7116315458
130	0.7104777956
131	0.7094984896
132	0.7079357807
133	0.7074372669
134	0.7061888861
135	0.7039838453
136	0.7033291472
137	0.7021902124
138	0.7005499197
139	0.6989201241
140	0.6974365214
141	0.696646946
142	0.6958924296
143	0.6951528415
144	0.6940065226
145	0.6935368297
146	0.6923879704
147	0.6909126295
148	0.6904579789
149	0.6896124009
150	0.6887999362
151	0.6881403643
152	0.6872628701
153	0.6860203156
154	0.6852814479
155	0.6845137599
156	0.683721828
157	0.6827472701
158	0.6822366418
159	0.681508194
160	0.6807543664
161	0.6802643732
162	0.6792757534
163	0.6783326212
164	0.6772632455
165	0.6761820338
