iter	Passed	Remaining
0	4	2170
1	7	1987
2	11	1941
3	15	1865
4	20	1984
5	23	1972
6	27	1928
7	30	1888
8	35	1932
9	39	1915
10	43	1928
11	47	1925
12	52	1965
13	55	1940
14	59	1931
15	63	1930
16	70	2001
17	74	1982
18	79	2019
19	84	2018
20	88	2020
21	92	2015
22	97	2028
23	101	2012
24	105	1998
25	109	1988
26	114	2005
27	119	2012
28	122	1996
29	126	1988
30	130	1981
31	134	1973
32	138	1960
33	143	1964
34	147	1955
35	151	1948
36	154	1938
37	158	1926
38	164	1940
39	167	1926
40	171	1915
41	174	1900
42	179	1905
43	183	1896
44	187	1892
45	191	1887
46	195	1884
47	200	1888
48	204	1880
49	208	1876
50	211	1864
51	215	1857
52	219	1848
53	222	1840
54	226	1835
55	230	1831
56	235	1832
57	240	1830
58	243	1820
59	246	1809
60	250	1800
61	253	1793
62	258	1790
63	262	1785
64	265	1777
65	270	1781
66	275	1782
67	278	1772
68	282	1765
69	287	1769
70	293	1775
71	300	1783
72	306	1793
73	311	1794
74	317	1796
75	322	1797
76	326	1795
77	330	1789
78	335	1785
79	341	1791
80	345	1786
81	351	1791
82	359	1804
83	363	1799
84	369	1804
85	373	1799
86	379	1799
87	387	1813
88	392	1810
89	396	1804
90	400	1799
91	403	1791
92	407	1782
93	411	1776
94	416	1776
95	420	1770
96	424	1761
97	428	1759
98	432	1753
99	436	1746
100	440	1739
101	443	1731
102	448	1729
103	452	1723
104	456	1715
105	461	1713
106	465	1710
107	468	1701
108	472	1695
109	477	1691
110	480	1684
111	485	1681
112	489	1675
113	493	1671
114	497	1665
115	501	1659
116	505	1654
117	510	1651
118	514	1645
119	517	1638
120	521	1634
121	526	1629
122	529	1624
123	533	1617
124	536	1610
125	543	1612
126	546	1606
127	552	1605
128	557	1602
129	560	1596
130	564	1590
131	568	1584
132	572	1580
133	576	1574
134	580	1568
135	584	1563
136	589	1561
137	592	1555
138	596	1549
139	601	1546
140	605	1542
141	609	1537
142	613	1531
143	617	1527
144	621	1521
145	624	1514
146	628	1509
147	633	1506
148	637	1501
149	640	1494
150	643	1487
151	646	1480
152	651	1477
153	654	1471
154	659	1468
155	663	1464
156	669	1463
157	675	1463
158	679	1456
159	684	1454
160	689	1450
161	693	1446
162	697	1442
163	701	1436
164	704	1430
165	707	1423
166	710	1417
167	716	1415
168	721	1412
169	725	1407
170	728	1401
171	733	1397
172	736	1391
173	739	1385
174	742	1379
175	748	1378
176	752	1373
177	755	1367
178	759	1362
179	764	1358
180	768	1353
181	772	1349
182	777	1346
183	783	1345
184	787	1341
185	791	1336
186	796	1333
187	801	1330
188	805	1325
189	809	1321
190	816	1320
191	820	1316
192	824	1310
193	828	1306
194	832	1302
195	836	1297
196	840	1292
197	844	1288
198	848	1282
199	851	1277
200	857	1275
201	863	1273
202	866	1268
203	870	1262
204	873	1256
205	878	1254
206	882	1248
207	885	1243
208	889	1238
209	895	1236
210	899	1232
211	903	1226
212	907	1222
213	912	1218
214	915	1213
215	918	1207
216	922	1203
217	927	1200
218	930	1194
219	934	1189
220	937	1183
221	941	1179
222	945	1174
223	948	1169
224	952	1164
225	955	1158
226	963	1158
227	967	1154
228	971	1149
229	976	1145
230	979	1141
231	983	1135
232	987	1131
233	990	1126
234	994	1121
235	998	1116
236	1001	1111
237	1007	1109
238	1011	1104
239	1014	1099
240	1017	1093
241	1021	1088
242	1026	1085
243	1029	1080
244	1032	1074
245	1037	1071
246	1042	1067
247	1046	1062
248	1049	1058
249	1054	1054
250	1058	1049
251	1061	1044
252	1066	1041
253	1073	1039
254	1077	1035
255	1081	1030
256	1085	1026
257	1090	1022
258	1094	1018
259	1097	1013
260	1101	1008
261	1106	1004
262	1110	1000
263	1114	995
264	1117	991
265	1123	988
266	1126	983
267	1130	978
268	1133	973
269	1139	970
270	1142	965
271	1145	960
272	1149	955
273	1152	950
274	1158	947
275	1162	943
276	1165	938
277	1169	933
278	1174	929
279	1177	925
280	1180	920
281	1183	915
282	1189	911
283	1193	907
284	1196	902
285	1199	897
286	1204	893
287	1207	889
288	1211	884
289	1215	880
290	1220	876
291	1224	872
292	1228	867
293	1231	862
294	1234	858
295	1238	853
296	1242	849
297	1245	844
298	1249	839
299	1254	836
300	1261	833
301	1264	829
302	1269	825
303	1272	820
304	1276	816
305	1280	811
306	1284	807
307	1288	803
308	1291	798
309	1295	793
310	1298	789
311	1306	787
312	1309	782
313	1313	777
314	1316	773
315	1320	768
316	1324	764
317	1329	760
318	1338	759
319	1345	756
320	1350	753
321	1355	749
322	1359	745
323	1363	740
324	1367	736
325	1372	732
326	1376	728
327	1380	723
328	1384	719
329	1388	715
330	1392	710
331	1399	708
332	1404	704
333	1408	699
334	1411	695
335	1416	691
336	1420	687
337	1424	682
338	1429	678
339	1434	674
340	1440	671
341	1449	669
342	1453	665
343	1457	660
344	1460	656
345	1466	652
346	1469	648
347	1473	643
348	1476	638
349	1482	635
350	1486	630
351	1489	626
352	1493	621
353	1499	618
354	1502	613
355	1506	609
356	1509	604
357	1514	600
358	1518	596
359	1521	591
360	1525	587
361	1529	582
362	1533	578
363	1536	574
364	1540	569
365	1543	565
366	1551	562
367	1554	557
368	1558	553
369	1561	548
370	1565	544
371	1569	540
372	1574	535
373	1578	531
374	1582	527
375	1585	522
376	1590	518
377	1595	515
378	1599	510
379	1603	506
380	1607	502
381	1611	497
382	1615	493
383	1619	489
384	1623	484
385	1627	480
386	1630	476
387	1634	471
388	1638	467
389	1643	463
390	1647	459
391	1651	454
392	1655	450
393	1660	446
394	1664	442
395	1668	438
396	1674	434
397	1678	430
398	1682	425
399	1685	421
400	1690	417
401	1693	412
402	1697	408
403	1700	404
404	1706	400
405	1711	396
406	1715	391
407	1720	387
408	1725	383
409	1728	379
410	1734	375
411	1739	371
412	1742	367
413	1746	362
414	1750	358
415	1754	354
416	1758	350
417	1763	345
418	1767	341
419	1771	337
420	1774	332
421	1780	329
422	1783	324
423	1787	320
424	1791	316
425	1795	311
426	1799	307
427	1802	303
428	1806	298
429	1809	294
430	1817	290
431	1824	287
432	1831	283
433	1835	279
434	1838	274
435	1844	270
436	1848	266
437	1852	262
438	1856	257
439	1860	253
440	1864	249
441	1867	245
442	1871	240
443	1874	236
444	1882	232
445	1888	228
446	1892	224
447	1897	220
448	1900	215
449	1903	211
450	1907	207
451	1912	203
452	1916	198
453	1920	194
454	1923	190
455	1927	186
456	1932	181
457	1937	177
458	1940	173
459	1945	169
460	1948	164
461	1952	160
462	1956	156
463	1962	152
464	1969	148
465	1977	144
466	1980	139
467	1983	135
468	1987	131
469	1992	127
470	1997	122
471	2001	118
472	2004	114
473	2009	110
474	2014	106
475	2020	101
476	2027	97
477	2031	93
478	2035	89
479	2042	85
480	2046	80
481	2050	76
482	2055	72
483	2059	68
484	2062	63
485	2066	59
486	2069	55
487	2075	51
488	2079	46
489	2083	42
490	2086	38
491	2091	34
492	2094	29
493	2098	25
494	2101	21
495	2106	16
496	2111	12
497	2115	8
498	2118	4
499	2122	0
